Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (meters)
1116,"Harborwalk, Waterfront, Boston",3,"0 Flaherty Way, D Street / West Broadway, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",616,389,974,4302
1116,"Harborwalk, Waterfront, Boston",4,"0 Moulton Street, Lynn","07/31/2016 - 08/28/2016, Every day, Daily Average",1437,1149,1796,19160
1116,"Harborwalk, Waterfront, Boston",5,"0 Queensberry Street, Fenway/Kenmore, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",773,502,1189,6183
1116,"Harborwalk, Waterfront, Boston",13,"200 Liberty Street, Braintree","07/31/2016 - 08/28/2016, Every day, Daily Average",1262,940,1693,23496
1116,"Harborwalk, Waterfront, Boston",14,"400 Cushing Street, Hingham","07/31/2016 - 08/28/2016, Every day, Daily Average",1713,1224,2396,31207
1116,"Harborwalk, Waterfront, Boston",16,"100 Kenrick Street, Oak Square, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",1469,1102,1956,15366
1116,"Harborwalk, Waterfront, Boston",17,"0 Maggi Road, Revere","07/31/2016 - 08/28/2016, Every day, Daily Average",894,593,1347,14158
1116,"Harborwalk, Waterfront, Boston",18,"0 Lake Street, Billerica","07/31/2016 - 08/28/2016, Every day, Daily Average",1645,1298,2084,36213
1116,"Harborwalk, Waterfront, Boston",19,"200 Ocean Street, Lynn","07/31/2016 - 08/28/2016, Every day, Daily Average",1535,1185,1987,20954
1116,"Harborwalk, Waterfront, Boston",20,"0 Florence Street, Everett","07/31/2016 - 08/28/2016, Every day, Daily Average",1051,716,1542,10017
1116,"Harborwalk, Waterfront, Boston",21,"0 Canal Lane, Somerville","07/31/2016 - 08/28/2016, Every day, Daily Average",479,271,845,6211
1116,"Harborwalk, Waterfront, Boston",23,"0 Ocallaghan Way, Lynn","07/31/2016 - 08/28/2016, Every day, Daily Average",1295,965,1737,22413
1116,"Harborwalk, Waterfront, Boston",25,"0 Baldpate Road, Georgetown","07/31/2016 - 08/28/2016, Every day, Daily Average",2278,1832,2831,49222
1116,"Harborwalk, Waterfront, Boston",27,"100 Inner Belt Road, Inner Belt, Somerville","07/31/2016 - 08/28/2016, Every day, Daily Average",361,164,794,5143
1116,"Harborwalk, Waterfront, Boston",28,"0 Lincoln Road, Brookline","07/31/2016 - 08/28/2016, Every day, Daily Average",1245,914,1695,9081
1116,"Harborwalk, Waterfront, Boston",29,"100 Crosby Street, Arlington","07/31/2016 - 08/28/2016, Every day, Daily Average",1043,750,1448,14068
1116,"Harborwalk, Waterfront, Boston",30,"0 Stagecoach Way, Hopkinton","07/31/2016 - 08/28/2016, Every day, Daily Average",2517,1822,3475,58161
1116,"Harborwalk, Waterfront, Boston",32,"0 Gainsborough Street, Fenway/Kenmore, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",903,598,1363,7001
1116,"Harborwalk, Waterfront, Boston",33,"200 Prospect Avenue, Revere","07/31/2016 - 08/28/2016, Every day, Daily Average",737,471,1152,10777
1116,"Harborwalk, Waterfront, Boston",37,"0 Perrin Street, Roxbury, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",1041,686,1579,6258
1116,"Harborwalk, Waterfront, Boston",38,"McLean Street, Belmont","07/31/2016 - 08/28/2016, Every day, Daily Average",1484,1178,1868,18605
1116,"Harborwalk, Waterfront, Boston",40,"0 Aycliffe Road, Swampscott","07/31/2016 - 08/28/2016, Every day, Daily Average",1713,1344,2183,25091
1116,"Harborwalk, Waterfront, Boston",41,"200 Sumner Street, East Boston, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",286,130,626,4555
1116,"Harborwalk, Waterfront, Boston",44,"0 Georgetown Road, Boxford","07/31/2016 - 08/28/2016, Every day, Daily Average",2110,1648,2700,41175
1116,"Harborwalk, Waterfront, Boston",45,"0 Lyon Street, Back Central, Lowell","07/31/2016 - 08/28/2016, Every day, Daily Average",2192,1772,2710,48579
1116,"Harborwalk, Waterfront, Boston",46,"300 River Street, Cambridgeport, Cambridge","07/31/2016 - 08/28/2016, Every day, Daily Average",980,667,1438,8477
1116,"Harborwalk, Waterfront, Boston",47,"200 Huntington Avenue, Prudential / St. Botolph, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",925,622,1374,7044
1116,"Harborwalk, Waterfront, Boston",48,"100 Gove Street, East Boston, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",381,214,676,4427
1116,"Harborwalk, Waterfront, Boston",51,"0 Peterborough Street, West Fens, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",760,476,1213,6096
1116,"Harborwalk, Waterfront, Boston",52,"0 Berkshire Street, Wellington-Harrington, Cambridge","07/31/2016 - 08/28/2016, Every day, Daily Average",846,564,1268,4887
1116,"Harborwalk, Waterfront, Boston",53,"600 Commonwealth Avenue, Fenway/Kenmore, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",725,456,1152,6147
1116,"Harborwalk, Waterfront, Boston",54,"0 Binney Street, Cambridge","07/31/2016 - 08/28/2016, Every day, Daily Average",682,426,1090,3486
1116,"Harborwalk, Waterfront, Boston",57,"100 Memorial Park Avenue, Lynn","07/31/2016 - 08/28/2016, Every day, Daily Average",1822,1424,2330,21814
1116,"Harborwalk, Waterfront, Boston",58,"100 Summit Avenue, Corey Hill, Brookline","07/31/2016 - 08/28/2016, Every day, Daily Average",1147,821,1601,8664
1116,"Harborwalk, Waterfront, Boston",59,"300 Shea Memorial Drive, SouthField, Weymouth","07/31/2016 - 08/28/2016, Every day, Daily Average",1758,1261,2449,29867
1116,"Harborwalk, Waterfront, Boston",60,"Pilgrims Highway, Weymouth","07/31/2016 - 08/28/2016, Every day, Daily Average",1480,1004,2180,26025
1116,"Harborwalk, Waterfront, Boston",62,"200 Pond Street, Avon","07/31/2016 - 08/28/2016, Every day, Daily Average",1832,1290,2601,33871
1116,"Harborwalk, Waterfront, Boston",65,"0 Glen Road, Reading","07/31/2016 - 08/28/2016, Every day, Daily Average",1227,935,1608,22582
1116,"Harborwalk, Waterfront, Boston",67,"0 Nightingale Lane, Salem","07/31/2016 - 08/28/2016, Every day, Daily Average",1985,1555,2532,40553
1116,"Harborwalk, Waterfront, Boston",68,"100 Beacon Street, Back Bay East, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",515,304,869,3709
1116,"Harborwalk, Waterfront, Boston",69,"0 Burrill Avenue, Lynn","07/31/2016 - 08/28/2016, Every day, Daily Average",1565,1230,1991,22022
1116,"Harborwalk, Waterfront, Boston",72,"0 Stonington Street, North Andover","07/31/2016 - 08/28/2016, Every day, Daily Average",1864,1439,2413,45183
1116,"Harborwalk, Waterfront, Boston",74,"700 Washington Street, Haverhill","07/31/2016 - 08/28/2016, Every day, Daily Average",2200,1743,2776,54766
1116,"Harborwalk, Waterfront, Boston",77,"0 The Mountain Road, Framingham","07/31/2016 - 08/28/2016, Every day, Daily Average",1942,1499,2515,43579
1116,"Harborwalk, Waterfront, Boston",78,"0 John Street, Woburn","07/31/2016 - 08/28/2016, Every day, Daily Average",1204,881,1645,19404
1116,"Harborwalk, Waterfront, Boston",79,"Massachusetts State House, Beacon Hill, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",245,88,676,2053
1116,"Harborwalk, Waterfront, Boston",80,"0 Bussell Road, West Medford, Medford","07/31/2016 - 08/28/2016, Every day, Daily Average",744,503,1100,12418
1116,"Harborwalk, Waterfront, Boston",81,"0 Rock Street, The Acre, Lowell","07/31/2016 - 08/28/2016, Every day, Daily Average",2107,1611,2755,49459
1116,"Harborwalk, Waterfront, Boston",82,"100 Private Alley 527, South End, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",824,581,1168,5462
1116,"Harborwalk, Waterfront, Boston",83,"0 Golden Drive, Winthrop","07/31/2016 - 08/28/2016, Every day, Daily Average",952,699,1295,14655
1116,"Harborwalk, Waterfront, Boston",89,"0 Cottage Street, Lynn","07/31/2016 - 08/28/2016, Every day, Daily Average",1272,929,1741,18544
1116,"Harborwalk, Waterfront, Boston",90,"100 Concord Street, Gloucester","07/31/2016 - 08/28/2016, Every day, Daily Average",2747,2226,3389,59624
1116,"Harborwalk, Waterfront, Boston",91,"Northbridge Road, Hanscom Air Force Base","07/31/2016 - 08/28/2016, Every day, Daily Average",2150,1666,2773,38178
1116,"Harborwalk, Waterfront, Boston",92,"Southeast Expressway, Quincy","07/31/2016 - 08/28/2016, Every day, Daily Average",1064,716,1579,22388
1116,"Harborwalk, Waterfront, Boston",94,"300 Marlborough Street, Back Bay, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",712,448,1131,4908
1116,"Harborwalk, Waterfront, Boston",95,"0 G Street, South Boston, Boston","07/31/2016 - 08/28/2016, Every day, Daily Average",817,564,1182,4874
1116,"Harborwalk, Waterfront, Boston",97,"300 Bishops Forest Drive, Waltham","07/31/2016 - 08/28/2016, Every day, Daily Average",1818,1400,2360,24470
1116,"Harborwalk, Waterfront, Boston",98,"100 Suffolk Road, Chestnut Hill, Newton","07/31/2016 - 08/28/2016, Every day, Daily Average",1580,1182,2111,14175
1116,"Harborwalk, Waterfront, Boston",100,"500 Western Avenue, Gloucester","07/31/2016 - 08/28/2016, Every day, Daily Average",2580,2104,3163,60075
1116,"Harborwalk, Waterfront, Boston",105,"100 Columbia Street, The Port, Cambridge","07/31/2016 - 08/28/2016, Every day, Daily Average",998,684,1454,6911
1116,"Harborwalk, Waterfront, Boston",113,"0 McKinley Road, Salem","07/31/2016 - 08/28/2016, Every day, Daily Average",2179,1754,2706,27111
1116,"Harborwalk, Waterfront, Boston",114,"600 Western Avenue, Lynn","07/31/2016 - 08/28/2016, Every day, Daily Average",1422,1028,1965,19716
1116,"Harborwalk, Waterfront, Boston",116,"200 Eastern Avenue, Lynn","07/31/2016 - 08/28/2016, Every day, Daily Average",1858,1419,2431,22521
1116,"Harborwalk, Waterfront, Boston",118,"0 County Way Extension, Beverly","07/31/2016 - 08/28/2016, Every day, Daily Average",1918,1512,2432,40943
1116,"Harborwalk, Waterfront, Boston",120,"0 Cherrywood Circle, Andover","07/31/2016 - 08/28/2016, Every day, Daily Average",1641,1287,2091,41017
1116,"Harborwalk, Waterfront, Boston",121,"0 Macy Street, Amesbury","07/31/2016 - 08/28/2016, Every day, Daily Average",2670,2253,3163,64193
