Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (Meters)
1116,"Harborwalk, Waterfront, Boston",3,"0 Flaherty Way, D Street / West Broadway, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",776,500,1204,4302
1116,"Harborwalk, Waterfront, Boston",5,"0 Queensberry Street, Fenway/Kenmore, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",732,469,1141,6183
1116,"Harborwalk, Waterfront, Boston",13,"200 Liberty Street, Braintree","07/31/2016 - 08/28/2016, Weekdays, Midday",2134,1434,3175,25915
1116,"Harborwalk, Waterfront, Boston",14,"400 Cushing Street, Hingham","07/31/2016 - 08/28/2016, Weekdays, Midday",2569,1864,3539,35479
1116,"Harborwalk, Waterfront, Boston",16,"100 Kenrick Street, Oak Square, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1569,1203,2044,15366
1116,"Harborwalk, Waterfront, Boston",17,"0 Maggi Road, Revere","07/31/2016 - 08/28/2016, Weekdays, Midday",1021,740,1408,14158
1116,"Harborwalk, Waterfront, Boston",18,"0 Lake Street, Billerica","07/31/2016 - 08/28/2016, Weekdays, Midday",1912,1417,2578,36213
1116,"Harborwalk, Waterfront, Boston",19,"200 Ocean Street, Lynn","07/31/2016 - 08/28/2016, Weekdays, Midday",1740,1413,2141,20954
1116,"Harborwalk, Waterfront, Boston",20,"0 Florence Street, Everett","07/31/2016 - 08/28/2016, Weekdays, Midday",1116,772,1611,10017
1116,"Harborwalk, Waterfront, Boston",21,"0 Canal Lane, Somerville","07/31/2016 - 08/28/2016, Weekdays, Midday",484,260,898,6211
1116,"Harborwalk, Waterfront, Boston",25,"0 Baldpate Road, Georgetown","07/31/2016 - 08/28/2016, Weekdays, Midday",2358,1792,3101,49222
1116,"Harborwalk, Waterfront, Boston",27,"100 Inner Belt Road, Inner Belt, Somerville","07/31/2016 - 08/28/2016, Weekdays, Midday",375,167,841,5954
1116,"Harborwalk, Waterfront, Boston",28,"0 Lincoln Road, Brookline","07/31/2016 - 08/28/2016, Weekdays, Midday",1382,1046,1825,9081
1116,"Harborwalk, Waterfront, Boston",29,"100 Crosby Street, Arlington","07/31/2016 - 08/28/2016, Weekdays, Midday",1091,795,1495,14068
1116,"Harborwalk, Waterfront, Boston",30,"0 Stagecoach Way, Hopkinton","07/31/2016 - 08/28/2016, Weekdays, Midday",2830,2017,3970,58161
1116,"Harborwalk, Waterfront, Boston",32,"0 Gainsborough Street, Fenway/Kenmore, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",973,654,1445,7001
1116,"Harborwalk, Waterfront, Boston",33,"200 Prospect Avenue, Revere","07/31/2016 - 08/28/2016, Weekdays, Midday",767,479,1227,10777
1116,"Harborwalk, Waterfront, Boston",37,"0 Perrin Street, Roxbury, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",1315,932,1853,9200
1116,"Harborwalk, Waterfront, Boston",38,"McLean Street, Belmont","07/31/2016 - 08/28/2016, Weekdays, Midday",1486,1201,1837,18605
1116,"Harborwalk, Waterfront, Boston",40,"0 Aycliffe Road, Swampscott","07/31/2016 - 08/28/2016, Weekdays, Midday",2011,1644,2459,25091
1116,"Harborwalk, Waterfront, Boston",41,"200 Sumner Street, East Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",246,105,572,6497
1116,"Harborwalk, Waterfront, Boston",44,"0 Georgetown Road, Boxford","07/31/2016 - 08/28/2016, Weekdays, Midday",2236,1668,2996,41175
1116,"Harborwalk, Waterfront, Boston",45,"0 Lyon Street, Back Central, Lowell","07/31/2016 - 08/28/2016, Weekdays, Midday",2534,2002,3206,48579
1116,"Harborwalk, Waterfront, Boston",46,"300 River Street, Cambridgeport, Cambridge","07/31/2016 - 08/28/2016, Weekdays, Midday",1092,737,1617,8477
1116,"Harborwalk, Waterfront, Boston",47,"200 Huntington Avenue, Prudential / St. Botolph, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",986,643,1511,7044
1116,"Harborwalk, Waterfront, Boston",48,"100 Gove Street, East Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",455,249,828,6370
1116,"Harborwalk, Waterfront, Boston",51,"0 Peterborough Street, West Fens, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",749,458,1224,6096
1116,"Harborwalk, Waterfront, Boston",52,"0 Berkshire Street, Wellington-Harrington, Cambridge","07/31/2016 - 08/28/2016, Weekdays, Midday",882,590,1316,4887
1116,"Harborwalk, Waterfront, Boston",53,"600 Commonwealth Avenue, Fenway/Kenmore, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",770,488,1214,6147
1116,"Harborwalk, Waterfront, Boston",58,"100 Summit Avenue, Corey Hill, Brookline","07/31/2016 - 08/28/2016, Weekdays, Midday",1215,902,1636,8664
1116,"Harborwalk, Waterfront, Boston",59,"300 Shea Memorial Drive, SouthField, Weymouth","07/31/2016 - 08/28/2016, Weekdays, Midday",3054,2401,3884,34139
1116,"Harborwalk, Waterfront, Boston",60,"Pilgrims Highway, Weymouth","07/31/2016 - 08/28/2016, Weekdays, Midday",2328,1625,3334,30297
1116,"Harborwalk, Waterfront, Boston",62,"200 Pond Street, Avon","07/31/2016 - 08/28/2016, Weekdays, Midday",2161,1519,3073,36813
1116,"Harborwalk, Waterfront, Boston",65,"0 Glen Road, Reading","07/31/2016 - 08/28/2016, Weekdays, Midday",1302,1062,1594,22582
1116,"Harborwalk, Waterfront, Boston",67,"0 Nightingale Lane, Salem","07/31/2016 - 08/28/2016, Weekdays, Midday",2346,1982,2775,25794
1116,"Harborwalk, Waterfront, Boston",68,"100 Beacon Street, Back Bay East, Boston","07/31/2016 - 08/28/2016, Weekdays, Midday",518,300,894,3709
1116,"Harborwalk, Waterfront, Boston",69,"0 Burrill Avenue, Lynn","07/31/2016 - 08/28/2016, Weekdays, Midday",1871,1507,2322,22022
1116,"Harborwalk, Waterfront, Boston",72,"0 Stonington Street, North Andover","07/31/2016 - 08/28/2016, Weekdays, Midday",2047,1585,2642,45183
