Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (Meters)
1116,"Harborwalk, Waterfront, Boston",3,"0 Flaherty Way, D Street / West Broadway, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",899,608,1327,4302
1116,"Harborwalk, Waterfront, Boston",5,"0 Queensberry Street, Fenway/Kenmore, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1026,686,1533,6183
1116,"Harborwalk, Waterfront, Boston",13,"200 Liberty Street, Braintree","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2812,1776,4450,25915
1116,"Harborwalk, Waterfront, Boston",14,"400 Cushing Street, Hingham","07/31/2016 - 08/28/2016, Weekdays, PM Peak",3356,2282,4933,35479
1116,"Harborwalk, Waterfront, Boston",16,"100 Kenrick Street, Oak Square, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1865,1429,2433,15366
1116,"Harborwalk, Waterfront, Boston",17,"0 Maggi Road, Revere","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1387,993,1936,14158
1116,"Harborwalk, Waterfront, Boston",18,"0 Lake Street, Billerica","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2114,1623,2752,36213
1116,"Harborwalk, Waterfront, Boston",19,"200 Ocean Street, Lynn","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2049,1723,2435,20954
1116,"Harborwalk, Waterfront, Boston",20,"0 Florence Street, Everett","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1325,919,1909,10017
1116,"Harborwalk, Waterfront, Boston",21,"0 Canal Lane, Somerville","07/31/2016 - 08/28/2016, Weekdays, PM Peak",702,415,1186,6211
1116,"Harborwalk, Waterfront, Boston",25,"0 Baldpate Road, Georgetown","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2472,1998,3056,49222
1116,"Harborwalk, Waterfront, Boston",27,"100 Inner Belt Road, Inner Belt, Somerville","07/31/2016 - 08/28/2016, Weekdays, PM Peak",507,248,1032,5954
1116,"Harborwalk, Waterfront, Boston",28,"0 Lincoln Road, Brookline","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1678,1257,2238,9081
1116,"Harborwalk, Waterfront, Boston",29,"100 Crosby Street, Arlington","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1438,1067,1936,14068
1116,"Harborwalk, Waterfront, Boston",32,"0 Gainsborough Street, Fenway/Kenmore, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1202,830,1740,7001
1116,"Harborwalk, Waterfront, Boston",33,"200 Prospect Avenue, Revere","07/31/2016 - 08/28/2016, Weekdays, PM Peak",910,605,1366,10777
1116,"Harborwalk, Waterfront, Boston",37,"0 Perrin Street, Roxbury, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1454,1066,1982,9200
1116,"Harborwalk, Waterfront, Boston",38,"McLean Street, Belmont","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1852,1432,2393,18605
1116,"Harborwalk, Waterfront, Boston",40,"0 Aycliffe Road, Swampscott","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2401,2027,2843,25091
1116,"Harborwalk, Waterfront, Boston",41,"200 Sumner Street, East Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",289,131,634,6497
1116,"Harborwalk, Waterfront, Boston",44,"0 Georgetown Road, Boxford","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2303,1837,2886,41175
1116,"Harborwalk, Waterfront, Boston",46,"300 River Street, Cambridgeport, Cambridge","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1217,836,1771,8477
1116,"Harborwalk, Waterfront, Boston",47,"200 Huntington Avenue, Prudential / St. Botolph, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1135,792,1625,7044
1116,"Harborwalk, Waterfront, Boston",48,"100 Gove Street, East Boston, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",425,245,736,6370
1116,"Harborwalk, Waterfront, Boston",51,"0 Peterborough Street, West Fens, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1035,679,1575,6096
1116,"Harborwalk, Waterfront, Boston",52,"0 Berkshire Street, Wellington-Harrington, Cambridge","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1046,746,1465,4887
1116,"Harborwalk, Waterfront, Boston",53,"600 Commonwealth Avenue, Fenway/Kenmore, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",964,633,1467,6147
1116,"Harborwalk, Waterfront, Boston",58,"100 Summit Avenue, Corey Hill, Brookline","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1529,1160,2014,8664
1116,"Harborwalk, Waterfront, Boston",60,"Pilgrims Highway, Weymouth","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2756,1767,4297,30297
1116,"Harborwalk, Waterfront, Boston",62,"200 Pond Street, Avon","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2896,2060,4070,36813
1116,"Harborwalk, Waterfront, Boston",65,"0 Glen Road, Reading","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1683,1389,2038,22582
1116,"Harborwalk, Waterfront, Boston",67,"0 Nightingale Lane, Salem","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2876,2545,3249,25794
1116,"Harborwalk, Waterfront, Boston",68,"100 Beacon Street, Back Bay East, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",630,408,972,3709
1116,"Harborwalk, Waterfront, Boston",69,"0 Burrill Avenue, Lynn","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2197,1870,2580,22022
1116,"Harborwalk, Waterfront, Boston",72,"0 Stonington Street, North Andover","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2615,1989,3437,45183
1116,"Harborwalk, Waterfront, Boston",77,"0 The Mountain Road, Framingham","07/31/2016 - 08/28/2016, Weekdays, PM Peak",2754,2209,3433,43579
1116,"Harborwalk, Waterfront, Boston",78,"0 John Street, Woburn","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1604,1209,2126,19404
1116,"Harborwalk, Waterfront, Boston",79,"Massachusetts State House, Beacon Hill, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",286,104,780,2053
1116,"Harborwalk, Waterfront, Boston",80,"0 Bussell Road, West Medford, Medford","07/31/2016 - 08/28/2016, Weekdays, PM Peak",1182,818,1707,12418
1116,"Harborwalk, Waterfront, Boston",82,"100 Private Alley 527, South End, Boston","07/31/2016 - 08/28/2016, Weekdays, PM Peak",967,694,1346,5462
