Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (Meters)
186,"20001, Northwest Washington, Washington",1,"5400 Arnold Avenue Southwest, Southwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",830,563,1221,9907
186,"20001, Northwest Washington, Washington",2,"1400 Juniper Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1660,1313,2097,9181
186,"20001, Northwest Washington, Washington",3,"4800 Canal Road Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1296,974,1724,8631
186,"20001, Northwest Washington, Washington",4,"2700 Unicorn Lane Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1694,1331,2154,10626
186,"20001, Northwest Washington, Washington",6,"Ridge Road Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1416,1101,1820,10465
186,"20001, Northwest Washington, Washington",7,"4500 Ohio Drive Southwest, Southwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",292,147,578,7405
186,"20001, Northwest Washington, Washington",9,"1800 Upshur Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1199,915,1571,5037
186,"20001, Northwest Washington, Washington",10,"1500 30th Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",794,524,1202,3902
186,"20001, Northwest Washington, Washington",11,"1600 Tuckerman Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1460,1160,1836,7482
186,"20001, Northwest Washington, Washington",12,"8000 Poplar Hill Drive, Clinton","07/31/2016 - 08/28/2016, Every day, Daily Average",1819,1456,2271,35393
186,"20001, Northwest Washington, Washington",13,"2100 Monticello Court, Fort Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1555,1146,2108,23741
186,"20001, Northwest Washington, Washington",14,"0 Hesketh Street, Chevy Chase","07/31/2016 - 08/28/2016, Every day, Daily Average",1684,1310,2164,11012
186,"20001, Northwest Washington, Washington",15,"8100 Roanoke Avenue, Takoma Park","07/31/2016 - 08/28/2016, Every day, Daily Average",1827,1468,2273,11029
186,"20001, Northwest Washington, Washington",16,"8800 Walden Road, Silver Spring","07/31/2016 - 08/28/2016, Every day, Daily Average",2011,1613,2506,11615
186,"20001, Northwest Washington, Washington",17,"8300 Colesville Road, Downtown Silver Spring, Silver Spring","07/31/2016 - 08/28/2016, Every day, Daily Average",1773,1437,2187,10110
186,"20001, Northwest Washington, Washington",18,"8900 Moreland Lane, Annandale","07/31/2016 - 08/28/2016, Every day, Daily Average",1449,1144,1835,39585
186,"20001, Northwest Washington, Washington",19,"Thomas Avenue, Arlington","07/31/2016 - 08/28/2016, Every day, Daily Average",667,459,969,11051
186,"20001, Northwest Washington, Washington",20,"McClellan Drive, Arlington","07/31/2016 - 08/28/2016, Every day, Daily Average",519,329,817,9898
186,"20001, Northwest Washington, Washington",21,"3600 North Vernon Street, Old Glebe, Arlington","07/31/2016 - 08/28/2016, Every day, Daily Average",1039,773,1396,17442
186,"20001, Northwest Washington, Washington",22,"6500 Park View Court, West Springfield","07/31/2016 - 08/28/2016, Every day, Daily Average",1600,1268,2018,36957
186,"20001, Northwest Washington, Washington",23,"6500 Bellamine Court, McLean","07/31/2016 - 08/28/2016, Every day, Daily Average",1223,947,1579,23239
186,"20001, Northwest Washington, Washington",24,"8600 Brook Road, McLean","07/31/2016 - 08/28/2016, Every day, Daily Average",1630,1265,2098,31996
186,"20001, Northwest Washington, Washington",25,"8200 Mockingbird Drive, Annandale","07/31/2016 - 08/28/2016, Every day, Daily Average",1528,1125,2074,34515
186,"20001, Northwest Washington, Washington",26,"9400 Pamlico Lane, Great Falls","07/31/2016 - 08/28/2016, Every day, Daily Average",1479,1126,1942,37396
186,"20001, Northwest Washington, Washington",27,"6200 Everglades Drive, Alexandria","07/31/2016 - 08/28/2016, Every day, Daily Average",1140,865,1501,21389
186,"20001, Northwest Washington, Washington",28,"2100 North Scott Street, North Highland, Arlington","07/31/2016 - 08/28/2016, Every day, Daily Average",825,562,1208,13096
186,"20001, Northwest Washington, Washington",29,"700 Carpenter Road, Potomac Yard, Alexandria","07/31/2016 - 08/28/2016, Every day, Daily Average",840,594,1187,14941
186,"20001, Northwest Washington, Washington",30,"0 Auburn Court, Potomac West, Alexandria","07/31/2016 - 08/28/2016, Every day, Daily Average",925,666,1283,12275
186,"20001, Northwest Washington, Washington",31,"1000 C Street Northeast, Northeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",735,536,1006,4623
186,"20001, Northwest Washington, Washington",32,"2600 13th Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",740,533,1027,2227
186,"20001, Northwest Washington, Washington",33,"4400 E Street Southeast, Benning Ridge, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1563,1115,2190,12029
186,"20001, Northwest Washington, Washington",34,"1700 Independence Avenue Southeast, Southeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1033,775,1375,7809
186,"20001, Northwest Washington, Washington",35,"2100 1st Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",794,558,1127,1066
186,"20001, Northwest Washington, Washington",36,"500 17th Street Northeast, Northeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",967,720,1297,5441
186,"20001, Northwest Washington, Washington",37,"3500 Toledo Terrace, Chillum","07/31/2016 - 08/28/2016, Every day, Daily Average",1846,1460,2333,10127
186,"20001, Northwest Washington, Washington",38,"5300 Westport Road, Chevy Chase","07/31/2016 - 08/28/2016, Every day, Daily Average",1724,1370,2168,10595
186,"20001, Northwest Washington, Washington",39,"Woodrow Wilson Memorial Bridge, Old Town, Alexandria","07/31/2016 - 08/28/2016, Every day, Daily Average",1175,871,1584,24857
186,"20001, Northwest Washington, Washington",40,"6000 Rixey Drive, Fair Haven, Alexandria","07/31/2016 - 08/28/2016, Every day, Daily Average",1350,1068,1705,22090
186,"20001, Northwest Washington, Washington",41,"2000 Rosedale Street Northeast, Northeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1057,788,1417,6085
186,"20001, Northwest Washington, Washington",42,"4200 10th Street Northeast, Northeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1221,905,1646,5528
186,"20001, Northwest Washington, Washington",43,"900 Randolph Street Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1081,817,1429,3162
186,"20001, Northwest Washington, Washington",44,"1200 New Jersey Avenue Southeast, Southeast Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",571,372,874,5225
186,"20001, Northwest Washington, Washington",45,"0 L Place Northwest, Northwest Washington, Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",224,86,576,2076
