"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"9","Arc de triomphe du Carrousel, Paris","1","0 Rue du Jour, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",459,234,897
"9","Arc de triomphe du Carrousel, Paris","2","0 Rue du Louvre, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",293,159,537
"9","Arc de triomphe du Carrousel, Paris","3","Impasse des 3 Visages, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",155,87,275
"9","Arc de triomphe du Carrousel, Paris","4","0 Rue des Bourdonnais, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",175,68,443
"9","Arc de triomphe du Carrousel, Paris","5","0 Quai des Orfèvres, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",416,204,846
"9","Arc de triomphe du Carrousel, Paris","6","0 Rue de l'Arbre Sec, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",109,51,231
"9","Arc de triomphe du Carrousel, Paris","7","0 Rue Radziwill, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",350,209,584
"9","Arc de triomphe du Carrousel, Paris","8","100 Rue Berger, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",393,193,800
"9","Arc de triomphe du Carrousel, Paris","10","0 Rue Jean-Jacques Rousseau, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",234,113,480
"9","Arc de triomphe du Carrousel, Paris","11","0 Quai de l'Horloge, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",79,25,247
"9","Arc de triomphe du Carrousel, Paris","12","Allée Centrale, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",85,36,195
"9","Arc de triomphe du Carrousel, Paris","13","0 Rue de Richelieu, Paris-1ER-Arrondissement","09/03/2016 - 10/01/2016, Every day, Daily Average",130,53,314
"9","Arc de triomphe du Carrousel, Paris","14","0 Rue des Lombards, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",320,181,565
"9","Arc de triomphe du Carrousel, Paris","15","0 Rue Cambon, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",263,146,471
"9","Arc de triomphe du Carrousel, Paris","16","0 Rue de Mondovi, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",137,71,264
"9","Arc de triomphe du Carrousel, Paris","17","100 Rue Saint Honoré, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",87,31,242
"9","Arc de triomphe du Carrousel, Paris","18","0 Rue Mandar, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",387,203,734
"9","Arc de triomphe du Carrousel, Paris","19","0 Rue du Mail, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",397,231,681
"9","Arc de triomphe du Carrousel, Paris","20","0 Rue Saint-Fiacre, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",487,309,767
