"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1844","Sydney - Haymarket - The Rocks (1844)","1349","Baulkham Hills (East) (1349)","07/31/2016 - 08/28/2016, Every day, Daily Average",1857,1447,2381
"1844","Sydney - Haymarket - The Rocks (1844)","1350","Baulkham Hills (East) (1350)","07/31/2016 - 08/28/2016, Every day, Daily Average",1791,1382,2320
"1844","Sydney - Haymarket - The Rocks (1844)","1351","Baulkham Hills (East) (1351)","07/31/2016 - 08/28/2016, Every day, Daily Average",1797,1352,2388
"1844","Sydney - Haymarket - The Rocks (1844)","1353","Baulkham Hills (East) (1353)","07/31/2016 - 08/28/2016, Every day, Daily Average",1880,1542,2291
"1844","Sydney - Haymarket - The Rocks (1844)","1357","Baulkham Hills (West) - Bella Vista (1357)","07/31/2016 - 08/28/2016, Every day, Daily Average",1989,1569,2521
"1844","Sydney - Haymarket - The Rocks (1844)","1359","Baulkham Hills (West) - Bella Vista (1359)","07/31/2016 - 08/28/2016, Every day, Daily Average",2088,1612,2703
"1844","Sydney - Haymarket - The Rocks (1844)","1361","Baulkham Hills (West) - Bella Vista (1361)","07/31/2016 - 08/28/2016, Every day, Daily Average",2091,1713,2551
"1844","Sydney - Haymarket - The Rocks (1844)","1365","Baulkham Hills (West) - Bella Vista (1365)","07/31/2016 - 08/28/2016, Every day, Daily Average",2169,1843,2551
"1844","Sydney - Haymarket - The Rocks (1844)","1409","West Pennant Hills (1409)","07/31/2016 - 08/28/2016, Every day, Daily Average",1509,1177,1933
"1844","Sydney - Haymarket - The Rocks (1844)","1411","West Pennant Hills (1411)","07/31/2016 - 08/28/2016, Every day, Daily Average",1638,1258,2131
"1844","Sydney - Haymarket - The Rocks (1844)","1499","Lalor Park - Kings Langley (1499)","07/31/2016 - 08/28/2016, Every day, Daily Average",2069,1653,2589
"1844","Sydney - Haymarket - The Rocks (1844)","1503","Seven Hills - Toongabbie (1503)","07/31/2016 - 08/28/2016, Every day, Daily Average",2231,1743,2855
"1844","Sydney - Haymarket - The Rocks (1844)","1578","Prospect Reservoir (1578)","07/31/2016 - 08/28/2016, Every day, Daily Average",2340,1816,3014
"1844","Sydney - Haymarket - The Rocks (1844)","1579","Prospect Reservoir (1579)","07/31/2016 - 08/28/2016, Every day, Daily Average",2472,1932,3161
"1844","Sydney - Haymarket - The Rocks (1844)","1598","Botany (1598)","07/31/2016 - 08/28/2016, Every day, Daily Average",1007,754,1344
"1844","Sydney - Haymarket - The Rocks (1844)","1599","Botany (1599)","07/31/2016 - 08/28/2016, Every day, Daily Average",934,698,1248
"1844","Sydney - Haymarket - The Rocks (1844)","1602","Mascot - Eastlakes (1602)","07/31/2016 - 08/28/2016, Every day, Daily Average",1062,741,1520
"1844","Sydney - Haymarket - The Rocks (1844)","1603","Mascot - Eastlakes (1603)","07/31/2016 - 08/28/2016, Every day, Daily Average",1352,1008,1813
"1844","Sydney - Haymarket - The Rocks (1844)","1604","Mascot - Eastlakes (1604)","07/31/2016 - 08/28/2016, Every day, Daily Average",1260,939,1689
"1844","Sydney - Haymarket - The Rocks (1844)","1605","Mascot - Eastlakes (1605)","07/31/2016 - 08/28/2016, Every day, Daily Average",1387,974,1974
"1844","Sydney - Haymarket - The Rocks (1844)","1607","Mascot - Eastlakes (1607)","07/31/2016 - 08/28/2016, Every day, Daily Average",889,618,1277
"1844","Sydney - Haymarket - The Rocks (1844)","1608","Mascot - Eastlakes (1608)","07/31/2016 - 08/28/2016, Every day, Daily Average",1259,916,1729
"1844","Sydney - Haymarket - The Rocks (1844)","1610","Pagewood - Hillsdale - Daceyville (1610)","07/31/2016 - 08/28/2016, Every day, Daily Average",1378,947,2004
"1844","Sydney - Haymarket - The Rocks (1844)","1611","Pagewood - Hillsdale - Daceyville (1611)","07/31/2016 - 08/28/2016, Every day, Daily Average",1217,865,1711
"1844","Sydney - Haymarket - The Rocks (1844)","1612","Pagewood - Hillsdale - Daceyville (1612)","07/31/2016 - 08/28/2016, Every day, Daily Average",1016,744,1387
"1844","Sydney - Haymarket - The Rocks (1844)","1613","Pagewood - Hillsdale - Daceyville (1613)","07/31/2016 - 08/28/2016, Every day, Daily Average",1162,833,1619
"1844","Sydney - Haymarket - The Rocks (1844)","1614","Pagewood - Hillsdale - Daceyville (1614)","07/31/2016 - 08/28/2016, Every day, Daily Average",1141,818,1591
"1844","Sydney - Haymarket - The Rocks (1844)","1621","Sydney Airport (1621)","07/31/2016 - 08/28/2016, Every day, Daily Average",1290,880,1890
"1844","Sydney - Haymarket - The Rocks (1844)","1622","Sydney Airport (1622)","07/31/2016 - 08/28/2016, Every day, Daily Average",1300,903,1870
"1844","Sydney - Haymarket - The Rocks (1844)","1625","Marrickville (1625)","07/31/2016 - 08/28/2016, Every day, Daily Average",1176,928,1489
"1844","Sydney - Haymarket - The Rocks (1844)","1627","Marrickville (1627)","07/31/2016 - 08/28/2016, Every day, Daily Average",1102,876,1384
"1844","Sydney - Haymarket - The Rocks (1844)","1628","Marrickville (1628)","07/31/2016 - 08/28/2016, Every day, Daily Average",1136,893,1444
"1844","Sydney - Haymarket - The Rocks (1844)","1629","Marrickville (1629)","07/31/2016 - 08/28/2016, Every day, Daily Average",1090,886,1340
"1844","Sydney - Haymarket - The Rocks (1844)","1630","Marrickville (1630)","07/31/2016 - 08/28/2016, Every day, Daily Average",1091,872,1364
"1844","Sydney - Haymarket - The Rocks (1844)","1631","Marrickville (1631)","07/31/2016 - 08/28/2016, Every day, Daily Average",1044,815,1335
"1844","Sydney - Haymarket - The Rocks (1844)","1632","Marrickville (1632)","07/31/2016 - 08/28/2016, Every day, Daily Average",1042,857,1266
"1844","Sydney - Haymarket - The Rocks (1844)","1633","Marrickville (1633)","07/31/2016 - 08/28/2016, Every day, Daily Average",1041,827,1310
"1844","Sydney - Haymarket - The Rocks (1844)","1634","Marrickville (1634)","07/31/2016 - 08/28/2016, Every day, Daily Average",971,767,1228
"1844","Sydney - Haymarket - The Rocks (1844)","1635","Marrickville (1635)","07/31/2016 - 08/28/2016, Every day, Daily Average",995,732,1351
"1844","Sydney - Haymarket - The Rocks (1844)","1636","Marrickville (1636)","07/31/2016 - 08/28/2016, Every day, Daily Average",969,766,1225
"1844","Sydney - Haymarket - The Rocks (1844)","1637","Marrickville (1637)","07/31/2016 - 08/28/2016, Every day, Daily Average",951,717,1259
"1844","Sydney - Haymarket - The Rocks (1844)","1639","Petersham - Stanmore (1639)","07/31/2016 - 08/28/2016, Every day, Daily Average",958,707,1297
"1844","Sydney - Haymarket - The Rocks (1844)","1640","Petersham - Stanmore (1640)","07/31/2016 - 08/28/2016, Every day, Daily Average",957,735,1245
"1844","Sydney - Haymarket - The Rocks (1844)","1641","Petersham - Stanmore (1641)","07/31/2016 - 08/28/2016, Every day, Daily Average",895,692,1156
"1844","Sydney - Haymarket - The Rocks (1844)","1642","Petersham - Stanmore (1642)","07/31/2016 - 08/28/2016, Every day, Daily Average",930,705,1225
"1844","Sydney - Haymarket - The Rocks (1844)","1643","Petersham - Stanmore (1643)","07/31/2016 - 08/28/2016, Every day, Daily Average",953,690,1314
"1844","Sydney - Haymarket - The Rocks (1844)","1644","Petersham - Stanmore (1644)","07/31/2016 - 08/28/2016, Every day, Daily Average",907,663,1239
